parameter_name,category,current_value,default_value,value_range,core_effect,why_performance_related,risk_level,can_modify,evidence_source,notes,score
log_disk_throttling_maximum_duration,磁盘IO,2h,2h,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,"命中关键词: io, disk, log",LOW,YES,real_query + previous_export,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=LOGSERVICE; score=15,15
log_disk_utilization_limit_threshold,磁盘IO,95,95,"[80, 100]",影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,"命中关键词: io, disk, log",LOW,YES,real_query,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=LOGSERVICE; score=15,15
log_disk_utilization_threshold,磁盘IO,80,80,"[10, 100)",影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,"命中关键词: io, disk, log",LOW,YES,real_query,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=LOGSERVICE; score=15,15
enable_clog_encryption,磁盘IO,False,False,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,"命中关键词: io, log, clog",LOW,YES,real_query,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=TENANT; score=13,13
__min_full_resource_pool_memory,内存管理,2147483648,5368709120,UNKNOWN,影响缓存、冻结、内存水位和租户资源使用,"命中关键词: memory, mem, resource",MEDIUM,UNKNOWN,real_query + previous_export,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=LOAD_BALANCE; score=13,13
clog_io_isolation_mode,磁盘IO,1,1,"1 - Non-isolation mode (disable I/O isolation), 2 - Full isolation mode (enable I/O isolation)",影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,"命中关键词: io, log, clog",MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=13,13
memory_chunk_cache_size,内存管理,0M,0M,"[0M,], 0 stands for adaptive",影响缓存、冻结、内存水位和租户资源使用,"命中关键词: memory, mem, cache",MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=13,13
syslog_io_bandwidth_limit,磁盘IO,30MB,30MB,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,"命中关键词: io, log, bandwidth",MEDIUM,UNKNOWN,real_query + previous_export,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=13,13
ob_vector_memory_limit_percentage,内存管理,0,0,"[0, 100)",影响缓存、冻结、内存水位和租户资源使用,"命中关键词: memory, mem, tenant, resource",HIGH,UNKNOWN,real_query,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=TENANT; score=12,12
log_disk_size,磁盘IO,5G,0M,"[0, +∞)",影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,"命中关键词: disk, log",HIGH,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=LOGSERVICE; score=11,11
log_disk_throttling_percentage,磁盘IO,60,60,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,"命中关键词: disk, log",LOW,YES,real_query + previous_export,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=LOGSERVICE; score=11,11
standby_db_preferred_upstream_log_region,磁盘IO,,UNKNOWN,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,"命中关键词: io, log",LOW,YES,real_query + previous_export,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=LOGSERVICE; score=11,11
vector_index_memory_saving_mode,内存管理,True,True,UNKNOWN,影响缓存、冻结、内存水位和租户资源使用,"命中关键词: memory, mem, tenant",LOW,YES,real_query + previous_export,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=TENANT; score=11,11
log_disk_percentage,磁盘IO,0,0,"[0,99] in integer",影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,"命中关键词: disk, log",MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=LOGSERVICE; score=11,11
query_memory_limit_percentage,内存管理,50,50,"[0,100]",影响缓存、冻结、内存水位和租户资源使用,"命中关键词: memory, mem, tenant",HIGH,UNKNOWN,real_query,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=10,10
rpc_memory_limit_percentage,内存管理,0,0,UNKNOWN,影响缓存、冻结、内存水位和租户资源使用,"命中关键词: memory, mem, tenant",HIGH,UNKNOWN,real_query + previous_export,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=RPC; score=10,10
system_memory,内存管理,1G,0M,"[0M,)",影响缓存、冻结、内存水位和租户资源使用,"命中关键词: memory, mem, tenant",HIGH,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=10,10
io_scheduler_thread_count,CPU调度,4,4,"[1, 16] in integer",影响并发度、后台线程调度、排队和高负载响应时间,"命中关键词: thread, concurrency, scheduler",HIGH,UNKNOWN,real_query,scope=CLUSTER; edit_level=STATIC_EFFECTIVE; section=OBSERVER; score=9,9
memory_limit,内存管理,6G,0M,"0, [1G,)",影响缓存、冻结、内存水位和租户资源使用,"命中关键词: memory, mem",HIGH,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=9,9
memory_limit_percentage,内存管理,80,80,"[10, 95]",影响缓存、冻结、内存水位和租户资源使用,"命中关键词: memory, mem",HIGH,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=9,9
