category,name,current_value,info,section,edit_level,reason,score
内存管理,_ss_mem_macro_cache_memory_limit_percentage,5,"the maximum percentage of tenant memory size used by mem_macro_cache in shared_stoarge mode, Range: [0, 50]",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem, cache, tenant",16
内存管理,_ss_micro_cache_memory_percentage,20,"the percentage of tenant memory size used by microblock_cache in shared_stoarge mode, Range: [1, 50]",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem, cache, tenant",16
内存管理,_hidden_sys_tenant_memory,0M,"the size of the memory reserved for hidden sys tenant, 0M means follow the adjusting value.",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem, tenant",15
磁盘IO,log_disk_throttling_maximum_duration,2h,"maximum duration of log disk throttling, that is the time remaining until the log disk space is exhausted after log disk throttling triggered.",LOGSERVICE,DYNAMIC_EFFECTIVE,"命中关键词: io, disk, log",15
磁盘IO,log_disk_utilization_limit_threshold,95,"maximum of log disk usage percentage before stop submitting or receiving logs, should be bigger than log_disk_utilization_threshold. Range: [80, 100]",LOGSERVICE,DYNAMIC_EFFECTIVE,"命中关键词: io, disk, log",15
磁盘IO,log_disk_utilization_threshold,80,"log disk utilization threshold before reuse log files, should be smaller than log_disk_utilization_limit_threshold. Range: [10, 100)",LOGSERVICE,DYNAMIC_EFFECTIVE,"命中关键词: io, disk, log",15
内存管理,__min_full_resource_pool_memory,2147483648,the min memory value which is specified for a full resource pool.,LOAD_BALANCE,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem, resource",13
内存管理,_enable_external_table_memory_cache,True,enable external table memory cache,OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem, cache",13
内存管理,memory_chunk_cache_size,0M,"the maximum size of memory cached by memory chunk cache. Range: [0M,], 0 stands for adaptive",OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem, cache",13
磁盘IO,_ss_clog_retention_period,10m,"Minimum retention period for CLOG data in the log service. Default: 10 minutes. Range: [1m, 7d]",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: io, log, clog",13
磁盘IO,clog_io_isolation_mode,1,"Specifies the I/O isolation mode for Commit Log (clog). Values: 1 - Non-isolation mode (disable I/O isolation), 2 - Full isolation mode (enable I/O isolation). Example: 1=Off, 2=On",OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: io, log, clog",13
磁盘IO,syslog_io_bandwidth_limit,30MB,"Syslog IO bandwidth limitation, exceeding syslog would be truncated. Use 0 to disable ERROR log.",OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: io, log, bandwidth",13
内存管理,_ctx_memory_limit,,specifies tenant ctx memory limit.,TENANT,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem, tenant",12
内存管理,_mds_memory_limit_percentage,10,"Used to control the upper limit percentage of memory resources that the Mds module can use. Range:(0, 100)",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem, tenant, resource",12
内存管理,_storage_meta_memory_limit_percentage,20,"maximum memory for storage meta, as a percentage of total tenant memory. Range: [0, 50), percentage, 0 means no limit to storage meta memory",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem, tenant",12
内存管理,_tx_data_memory_limit_percentage,20,"used to control the upper limit percentage of memory resources that the TxData module can use. Range:(0, 100)",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem, tenant, resource",12
内存管理,_tx_share_memory_limit_percentage,0,"Used to control the percentage of tenant memory limit that multiple modules in the transaction layer can collectively use. This primarily includes user data (MemTable), transaction data (TxData), etc. When it is set to the default value of 0, it represents dynamic adaptive behavior, which will be adjusted dynamically based on memstore_limit_percentage. The adjustment rule is:  _tx_share_memory_limit_percentage = max(memstore_limit_percentage, ob_vector_memory_limit_percentage + 5) + 10. Range: [0, 100)",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem, tenant",12
内存管理,ob_vector_memory_limit_percentage,0,"Used to control the upper limit percentage of memory resources that the vector_index module can use. Range:[0, 100).The system will adjust automatically if ob_vector_memory_limit_percentage set to 0(by default).",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem, tenant, resource",12
内存管理,_multimodel_memory_trace_level,0,Multi-mode memory tracking mechanism,TENANT,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem, tenant",11
内存管理,vector_index_memory_saving_mode,True,Specifies whether to enable the vector index memory saving mode. This can reduce the memory used by the partition table vector index rebuild.,TENANT,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem, tenant",11
磁盘IO,log_disk_percentage,0,"the percentage of disk space used by the log files. Range: [0,99] in integer;only effective when parameter log_disk_size is 0;when log_disk_percentage is 0: a) if the data and the log are on the same disk, means log_disk_percentage = 30 b) if the data and the log are on the different disks, means log_disk_perecentage = 90",LOGSERVICE,DYNAMIC_EFFECTIVE,"命中关键词: disk, log",11
磁盘IO,log_disk_size,15G,"the size of disk space used by the log files. Range: [0, +∞)",LOGSERVICE,DYNAMIC_EFFECTIVE,"命中关键词: disk, log",11
磁盘IO,log_disk_throttling_percentage,60,"the threshold of the size of the log disk when writing_limit will be triggered. Rang:[40,100]. setting 100 means turn off writing limit",LOGSERVICE,DYNAMIC_EFFECTIVE,"命中关键词: disk, log",11
磁盘IO,standby_db_preferred_upstream_log_region,,The preferred upstream log region for Standby db. The Standby db will give priority to the preferred upstream log region to fetch log. For high availability，the Standby db will also switch to the other region when the preferred upstream log region can not fetch log because of exception etc.,LOGSERVICE,DYNAMIC_EFFECTIVE,"命中关键词: io, log",11
内存管理,_external_table_mem_cache_page_size,512KB,"page size of the external table memory cache. Range: [0,+∞)",OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem, cache",10
内存管理,_ignore_system_memory_over_limit_error,False,"When the hold of observer tenant is over the system_memory, print ERROR with False, or WARN with True",OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem, tenant",10
内存管理,query_memory_limit_percentage,50,"the percentage of tenant memory that can be used by a single SQL. The default value is 50. Range: [0,100]",OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem, tenant",10
内存管理,rpc_memory_limit_percentage,0,"maximum memory for rpc in a tenant, as a percentage of total tenant memory, and 0 means no limit to rpc memory",RPC,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem, tenant",10
内存管理,system_memory,1G,"the memory reserved for internal use which cannot be allocated to any outer-tenant, and should be determined to guarantee every server functions normally. Range: [0M,)",OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem, tenant",10
磁盘IO,_disable_record_outrow_lob_in_clog,False,Whether to force outrow lob data to be written to CLOG for OBCDC synchronization when lob columns are not updated,TENANT,DYNAMIC_EFFECTIVE,"命中关键词: io, log, clog",10
