parameter_name,category,current_value,default_value,value_range,core_effect,why_performance_related,risk_level,can_modify,evidence_source,notes
log_disk_throttling_maximum_duration,磁盘IO,2h,2h,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,"命中关键词: io, disk, log",LOW,YES,real_query + previous_export,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=LOGSERVICE; score=15
log_disk_utilization_limit_threshold,磁盘IO,95,95,"[80, 100]",影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,"命中关键词: io, disk, log",LOW,YES,real_query,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=LOGSERVICE; score=15
log_disk_utilization_threshold,磁盘IO,80,80,"[10, 100)",影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,"命中关键词: io, disk, log",LOW,YES,real_query,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=LOGSERVICE; score=15
enable_clog_encryption,磁盘IO,False,False,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,"命中关键词: io, log, clog",LOW,YES,real_query,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=TENANT; score=13
__min_full_resource_pool_memory,内存管理,2147483648,5368709120,UNKNOWN,影响缓存、冻结、内存水位和租户资源使用,"命中关键词: memory, mem, resource",MEDIUM,UNKNOWN,real_query + previous_export,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=LOAD_BALANCE; score=13
clog_io_isolation_mode,磁盘IO,1,1,"1 - Non-isolation mode (disable I/O isolation), 2 - Full isolation mode (enable I/O isolation)",影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,"命中关键词: io, log, clog",MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=13
memory_chunk_cache_size,内存管理,0M,0M,"[0M,], 0 stands for adaptive",影响缓存、冻结、内存水位和租户资源使用,"命中关键词: memory, mem, cache",MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=13
syslog_io_bandwidth_limit,磁盘IO,30MB,30MB,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,"命中关键词: io, log, bandwidth",MEDIUM,UNKNOWN,real_query + previous_export,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=13
ob_vector_memory_limit_percentage,内存管理,0,0,"[0, 100)",影响缓存、冻结、内存水位和租户资源使用,"命中关键词: memory, mem, tenant, resource",HIGH,UNKNOWN,real_query,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=TENANT; score=12
log_disk_size,磁盘IO,5G,0M,"[0, +∞)",影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,"命中关键词: disk, log",HIGH,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=LOGSERVICE; score=11
