NAME	VALUE	DEFAULT_VALUE	DATA_TYPE	EDIT_LEVEL	SECTION	INFO
alert_log_level	INFO	INFO	STRING	DYNAMIC_EFFECTIVE	OBSERVER	specifies the current level of alert log. There are INFO, WARN, ERROR, three different log levels.
all_server_list	127.0.0.1:2882		STRING	DYNAMIC_EFFECTIVE	LOCATION_CACHE	all server addr in cluster
approx_count_distinct_precision	10	10	INT	DYNAMIC_EFFECTIVE	TENANT	specify the result accuracy of approx_count_distinct
arbitration_degradation_policy	LS_POLICY	LS_POLICY	STRING	DYNAMIC_EFFECTIVE	LOGSERVICE	specifies the degradation policy, whether to check network connectivity with RS before arbitration degrades. Value: LS_POLICY, CLUSTER_POLICY LS_POLICY: default policy. CLUSTER_POLICY: check network connectivity with RS before arbitration degrades. Do not degrade when not connected. Then, switch log stream leaders to the replicas which are connected with RS.
arbitration_timeout	5s	5s	TIME	DYNAMIC_EFFECTIVE	TRANS	The timeout before automatically degrading when arbitration member exists. Range: [3s,+∞]
archive_lag_target	120s	120s	TIME	DYNAMIC_EFFECTIVE	LOGSERVICE	The lag target of the log archive. The log archive target affects not only the backup availability, but also the lag of the standby database based on archive. Values larger than 7200s are not reasonable lag. The typical value is 120s. Extremely low values can result in high IOPS, which is not optimal for object storage; such values can also affect the performance of the database. The value 0ms means to archive as soon as possible. Range: [0ms,7200s]
async_ps_cursor_max_count	0	0	INT	DYNAMIC_EFFECTIVE	OBSERVER	the max count of async ps cursor. The default value is 0. Range: [0, 1024] in integer
attach_shared_sstable_thread_score	0	0	INT	DYNAMIC_EFFECTIVE	OBSERVER	the current work thread score of attach shared sstable to local storage Range: [0,100] in integer. Especially, 0 means default value
audit_log_buffer_size	16M	16M	CAPACITY	DYNAMIC_EFFECTIVE	OBSERVER	[16M,)the buffer size of async audit logRange: [16M, total size of memory]
audit_log_compression	NONE	NONE	STRING	DYNAMIC_EFFECTIVE	OBSERVER	the type of compression for the audit log file, values: NONE, ZSTD
audit_log_enable	False	False	BOOL	DYNAMIC_EFFECTIVE	OBSERVER	whether enable audit log
audit_log_format	CSV	CSV	STRING	DYNAMIC_EFFECTIVE	OBSERVER	the audit log file format, values: CSV
audit_log_max_size	0M	0M	CAPACITY	DYNAMIC_EFFECTIVE	OBSERVER	the maximum combined size of the audit log files
audit_log_path			STRING	DYNAMIC_EFFECTIVE	OBSERVER	the directory of the audit log
audit_log_prune_seconds	0	0	INT	DYNAMIC_EFFECTIVE	TENANT	the number of seconds after which audit log files become subject to pruning, range: [0,)
audit_log_query_sql	ALL	ALL	STRING	DYNAMIC_EFFECTIVE	OBSERVER	how to record the query sql. ALL: record the original query sql. NONE: not to record query sql.
audit_log_rotate_on_size	256M	256M	CAPACITY	DYNAMIC_EFFECTIVE	OBSERVER	[0,)whenever a write to the audit log file causes its size to exceed the config value, it will be renamed and a new audit log file using is opened, range: [0,)
audit_log_strategy	ASYNCHRONOUS	ASYNCHRONOUS	STRING	DYNAMIC_EFFECTIVE	OBSERVER	the logging method used by the audit log plugin. ASYNCHRONOUS: Log asynchronously. Wait for space in the output buffer. PERFORMANCE: Log asynchronously. Drop requests when there is insufficient buffer. SYNCHRONOUS: Log synchronously.
audit_sys_operations	False	False	BOOL	DYNAMIC_EFFECTIVE	OBSERVER	whether trace sys user operations
audit_trail	None	None	STRING	DYNAMIC_EFFECTIVE	OBSERVER	enables or disables database auditing, support NONE;OS;DB;DB,EXTENDED;DB_EXTENDED
autoinc_cache_refresh_interval	3600s	3600s	TIME	DYNAMIC_EFFECTIVE	OBSERVER	auto-increment service cache refresh sync_value in this interval, with default 3600s. Range: [100ms, +∞)
auto_split_tablet_size	2GB	2GB	CAPACITY	DYNAMIC_EFFECTIVE	TENANT	"when create an auto-partitioned table in ""create table"" syntax or modify a table as an auto-partitioned table in ""alter table"" syntax,if the splitting threshold of tablet size is not setted,this config will be setted as the threshold of the table.Note that the modification of this config will not affect the created auto-partitioned table.Range: [128M, +∞)"
backup_data_file_size	4G	4G	CAPACITY	DYNAMIC_EFFECTIVE	OBSERVER	backup data file size. Range: [512M, 4G] in integer
balancer_idle_time	10s	10s	TIME	DYNAMIC_EFFECTIVE	LOAD_BALANCE	the time interval between the schedules of the tenant load-balancing task. Range: [10s, +∞)
balancer_log_interval	1m	1m	TIME	DYNAMIC_EFFECTIVE	LOAD_BALANCE	the time interval between logging the load-balancing task\'s statistics. Range: [1s, +∞)
balancer_task_timeout	20m	20m	TIME	DYNAMIC_EFFECTIVE	LOAD_BALANCE	the time to execute the load-balancing task before it is terminated. Range: [1s, +∞)
balancer_tolerance_percentage	10	10	INT	DYNAMIC_EFFECTIVE	LOAD_BALANCE	specifies the tolerance (in percentage) of the unbalance of the disk space utilization among all units. The average disk space utilization is calculated by dividing the total space by the number of units. For example, say balancer_tolerance_percentage is set to 10 and a tenant has two units in the system, the average disk use for each unit should be about the same, thus 50% of the total value. Therefore, the system will start a rebalancing task when any unit\'s disk space goes beyond +-10% of the average usage. Range: [1, 100) in percentage
bf_cache_miss_count_threshold	100	100	INT	DYNAMIC_EFFECTIVE	CACHE	bf cache miss count threshold, 0 means disable bf cache. Range:[0, )
bf_cache_priority	1	1	INT	DYNAMIC_EFFECTIVE	CACHE	bf cache priority. Range:[1, )
builtin_db_data_verify_cycle	20	20	INT	DYNAMIC_EFFECTIVE	OBSERVER	check cycle of db data. Range: [0, 360] in integer. Unit: day. 0: check nothing. 1-360: check all data every specified days. The default value is 20. The real check cycle maybe longer than the specified value for insuring performance.
cache_wash_threshold	4GB	4GB	CAPACITY	DYNAMIC_EFFECTIVE	OBSERVER	size of remaining memory at which cache eviction will be triggered. Range: [0,+∞)
choose_migration_source_policy	region	region	STRING	DYNAMIC_EFFECTIVE	TENANT	the policy of choose source in migration and add replica. 'idc' means firstly choose follower replica of the same idc as source, 'region' means firstly choose follower replica of the same region as source
clog_io_isolation_mode	1	1	INT	DYNAMIC_EFFECTIVE	OBSERVER	Specifies the I/O isolation mode for Commit Log (clog). Values: 1 - Non-isolation mode (disable I/O isolation), 2 - Full isolation mode (enable I/O isolation). Example: 1=Off, 2=On
clog_sync_time_warn_threshold	100ms	100ms	TIME	DYNAMIC_EFFECTIVE	TRANS	the time given to the commit log synchronization between a leader and its followers before a \'warning\' message is printed in the log file.  Range: [1ms,1000ms]
cluster	obcluster	obcluster	STRING	DYNAMIC_EFFECTIVE	OBSERVER	Name of the cluster
cluster_id	1	0	INT	DYNAMIC_EFFECTIVE	OBSERVER	ID of the cluster
compaction_dag_cnt_limit	50000	50000	INT	DYNAMIC_EFFECTIVE	TENANT	the compaction dag count limit. Range: [10000,500000] in integer. default value is 50000
compaction_high_thread_score	0	0	INT	DYNAMIC_EFFECTIVE	TENANT	the current work thread score of high priority compaction. Range: [0,100] in integer. Especially, 0 means default value
compaction_low_thread_score	0	0	INT	DYNAMIC_EFFECTIVE	TENANT	the current work thread score of low priority compaction. Range: [0,100] in integer. Especially, 0 means default value
compaction_mid_thread_score	0	0	INT	DYNAMIC_EFFECTIVE	TENANT	the current work thread score of middle priority compaction. Range: [0,100] in integer. Especially, 0 means default value
