category,name,current_value,info,section,edit_level,reason
CPU调度,attach_shared_sstable_thread_score,0,"the current work thread score of attach shared sstable to local storage Range: [0,100] in integer. Especially, 0 means default value",OBSERVER,DYNAMIC_EFFECTIVE,关键词匹配: thread
内存管理,bf_cache_priority,1,"bf cache priority. Range:[1, )",CACHE,DYNAMIC_EFFECTIVE,关键词匹配: cache_priority
内存管理,cache_wash_threshold,4GB,"size of remaining memory at which cache eviction will be triggered. Range: [0,+∞)",OBSERVER,DYNAMIC_EFFECTIVE,关键词匹配: cache_wash
磁盘IO,clog_io_isolation_mode,1,"Specifies the I/O isolation mode for Commit Log (clog). Values: 1 - Non-isolation mode (disable I/O isolation), 2 - Full isolation mode (enable I/O isolation). Example: 1=Off, 2=On",OBSERVER,DYNAMIC_EFFECTIVE,"关键词匹配: io_, clog, _io_"
磁盘IO,clog_sync_time_warn_threshold,100ms,"the time given to the commit log synchronization between a leader and its followers before a \'warning\' message is printed in the log file.  Range: [1ms,1000ms]",TRANS,DYNAMIC_EFFECTIVE,关键词匹配: clog
CPU调度,compaction_high_thread_score,0,"the current work thread score of high priority compaction. Range: [0,100] in integer. Especially, 0 means default value",TENANT,DYNAMIC_EFFECTIVE,关键词匹配: thread
CPU调度,compaction_low_thread_score,0,"the current work thread score of low priority compaction. Range: [0,100] in integer. Especially, 0 means default value",TENANT,DYNAMIC_EFFECTIVE,关键词匹配: thread
CPU调度,compaction_mid_thread_score,0,"the current work thread score of middle priority compaction. Range: [0,100] in integer. Especially, 0 means default value",TENANT,DYNAMIC_EFFECTIVE,关键词匹配: thread
CPU调度,cpu_count,4,"the number of CPU\'s in the system. If this parameter is set to zero, the number will be set according to sysconf; otherwise, this parameter is used. Range: [0,+∞) in integer",OBSERVER,DYNAMIC_EFFECTIVE,关键词匹配: cpu
CPU调度,cpu_quota_concurrency,10,"max allowed concurrency for 1 CPU quota. Range: [1,20]",TENANT,DYNAMIC_EFFECTIVE,"关键词匹配: cpu, concurrency"
磁盘IO,datafile_disk_percentage,0,"the percentage of disk space used by the data files. Range: [0,99] in integer",SSTABLE,DYNAMIC_EFFECTIVE,"关键词匹配: disk_, datafile"
磁盘IO,datafile_maxsize,0,"the auto extend max size. Range: [0, +∞)",SSTABLE,DYNAMIC_EFFECTIVE,关键词匹配: datafile
磁盘IO,datafile_next,0,"the auto extend step. Range: [0, +∞)",SSTABLE,DYNAMIC_EFFECTIVE,关键词匹配: datafile
磁盘IO,datafile_size,20G,"size of the data file. Range: [0, +∞)",SSTABLE,DYNAMIC_EFFECTIVE,关键词匹配: datafile
磁盘IO,data_disk_usage_limit_percentage,90,"the safe use percentage of data diskRange: [50,100] in integer",OBSERVER,DYNAMIC_EFFECTIVE,"关键词匹配: disk_, data_disk"
内存管理,data_disk_write_limit_percentage,0,"used to stop user write operations. When the user data disk reaches this watermark, SQL requests will report that the disk is full. The configuration should be greater than data_disk_usage_limit_perce",TENANT,DYNAMIC_EFFECTIVE,关键词匹配: info:memstore
CPU调度,ddl_high_thread_score,0,"the current work thread score of ddl high thread. Range: [0,100] in integer. Especially, 0 means default value",OBSERVER,DYNAMIC_EFFECTIVE,关键词匹配: thread
